,ID,T,E
2,1,0,8
5,1,3583,29
7,1,5864,17
11,1,6769,4
6,1,7647,9
3,1,7695,8
8,1,7941,21
4,1,8251,55
14,1,9028,30
0,1,9091,54
13,1,9206,49
12,1,9388,31
1,1,10200,51
15,1,10299,41
10,1,10469,41
9,1,10580,4
17,1,10953,54
16,1,11003,29
18,1,11048,8
20,1,11064,8
19,1,11162,9
21,1,11641,59
24,1,11941,14
22,1,12003,16
23,1,12077,40
25,1,12161,40
26,1,12197,26
27,1,12358,18
28,1,12378,30
30,1,12460,30
31,1,12628,19
29,1,12679,9
32,1,13066,8
35,1,13267,27
33,1,13342,49
36,1,13430,9
34,1,13432,16
37,1,13833,27
38,1,13880,27
39,1,13984,30
41,1,14259,30
40,1,14337,4
42,1,14626,0
43,1,14877,8
45,1,15062,63
44,1,15076,63
47,1,15100,63
46,1,15133,63
49,1,15450,26
48,1,15629,3
50,1,16006,29
60,1,16006,29
51,1,16086,10
53,1,16162,29
52,1,16221,0
55,1,16372,40
56,1,16549,49
57,1,16672,32
54,1,16750,31
58,1,16798,59
64,1,16946,8
63,1,16984,29
61,1,17027,59
62,1,17146,51
59,1,17161,0
65,1,17786,66
66,1,17950,21
67,1,18243,3
68,1,18616,40
69,1,18924,50
70,1,19328,0
71,1,19566,0
74,1,19635,19
75,1,19684,9
73,1,19826,55
72,1,19866,41
76,1,20696,55
78,1,20813,8
77,1,20834,64
79,1,21448,0
81,1,21863,0
80,1,21953,54
83,1,22187,0
82,1,22253,64
84,1,22449,0
85,1,22925,45
86,1,23475,6
87,1,23594,41
88,1,24000,55
89,1,24326,32
90,1,24718,3
92,1,24718,3
91,1,25000,52
93,1,25673,13
94,1,26213,54
95,1,26330,6
96,1,26633,40
98,1,27797,54
97,1,27900,65
100,1,28083,31
99,1,28196,8
101,1,28590,36
102,1,28952,49
104,1,29614,14
103,1,29732,32
105,1,29774,40
106,1,30157,0
107,1,30186,0
109,1,30438,6
108,1,30673,32
110,1,31009,59
111,1,32005,59
112,1,32789,32
113,1,33532,31
114,1,33728,49
115,1,35801,8
116,1,36940,30
117,1,37566,40
118,1,38099,33
119,1,38181,58
120,1,39031,0
121,1,40879,8
122,1,41468,13
123,1,42432,30
124,1,42937,0
125,1,44593,8
126,1,44987,13
127,1,45375,36
128,1,45427,41
129,1,46066,0
131,1,47284,11
132,1,47284,11
130,1,47465,8
133,1,47988,32
134,1,48365,8
135,1,48734,0
136,1,49235,51
137,1,49899,50
139,1,50226,24
138,1,50330,26
140,1,52814,26
142,1,52814,45
141,1,52898,26
143,1,53308,45
144,1,54945,65
145,1,55299,14
146,1,55581,3
147,1,56235,1
149,1,56315,15
148,1,56421,59
150,1,56676,8
151,1,56888,30
152,1,57284,54
153,1,57558,61
154,1,58583,61
155,1,59079,32
156,1,59420,0
157,1,59885,40
158,1,60257,60
159,1,60409,32
161,1,60567,30
160,1,60637,0
162,1,60706,13
163,1,61360,65
164,1,62053,50
165,1,62356,51
166,1,62542,31
167,1,62703,13
174,1,62703,13
169,1,62827,29
168,1,62850,8
170,1,63134,12
172,1,63141,9
171,1,63170,49
173,1,63248,8
175,1,63690,67
176,1,63746,30
177,1,64034,30
179,1,64035,13
178,1,64189,0
180,1,64314,16
181,1,64374,41
183,1,64938,9
182,1,65099,40
184,1,65204,42
187,1,65257,26
191,1,65294,49
192,1,65317,49
186,1,65317,49
189,1,65386,37
190,1,65443,37
185,1,65447,51
188,1,65494,50
193,1,65693,8
194,1,65909,34
195,1,66432,36
196,1,66883,51
197,1,67828,53
198,1,67964,58
199,1,68033,59
201,1,68318,49
200,1,68376,44
202,1,68781,29
204,1,69241,13
203,1,69310,45
205,1,69533,63
206,1,70596,59
207,1,70757,8
208,1,70986,0
209,1,71392,60
210,1,71471,58
213,1,71618,8
211,1,71631,60
212,1,71737,30
215,1,71827,29
214,1,71892,60
216,1,71970,0
217,1,71998,37
219,1,72314,56
218,1,72396,58
220,1,72417,46
221,1,72505,13
223,1,72571,9
222,1,72988,29
224,1,73389,49
225,1,73629,16
226,1,74477,8
228,1,74510,6
227,1,74545,55
230,1,75141,0
229,1,75337,58
232,1,75356,49
231,1,75383,40
233,1,75513,19
234,1,75585,59
235,1,75813,4
236,1,76349,60
237,1,76474,26
238,1,76757,41
239,1,76931,56
240,1,76981,13
241,1,77388,11
242,1,77744,19
243,1,77946,49
244,1,77946,49
245,1,78716,56
250,1,78716,32
